region,effectif,macro_theme,tam_base,tam_final
Autres DOM-TOM,9,Autre,1,0.7
Auvergne-Rhône-Alpes,3,Autre,86,60.2
Auvergne-Rhône-Alpes,3,Commerce/Gestion,40,28.0
Auvergne-Rhône-Alpes,3,Industrie,30,21.0
Auvergne-Rhône-Alpes,3,Juridique,14,9.8
Auvergne-Rhône-Alpes,3,Langues,14,9.8
Auvergne-Rhône-Alpes,3,Santé,27,18.9
Auvergne-Rhône-Alpes,3,Services,36,25.2
Auvergne-Rhône-Alpes,3,Soft Skills,78,54.6
Auvergne-Rhône-Alpes,3,Sécurité,18,12.6
Auvergne-Rhône-Alpes,3,Tech/Digital,28,19.6
Auvergne-Rhône-Alpes,4,Autre,76,53.2
Auvergne-Rhône-Alpes,4,Commerce/Gestion,32,22.4
Auvergne-Rhône-Alpes,4,Industrie,34,23.8
Auvergne-Rhône-Alpes,4,Juridique,4,2.8
Auvergne-Rhône-Alpes,4,Langues,21,14.7
Auvergne-Rhône-Alpes,4,Santé,21,14.7
Auvergne-Rhône-Alpes,4,Services,29,20.3
Auvergne-Rhône-Alpes,4,Soft Skills,67,46.9
Auvergne-Rhône-Alpes,4,Sécurité,5,3.5
Auvergne-Rhône-Alpes,4,Tech/Digital,23,16.1
Auvergne-Rhône-Alpes,5,Autre,72,50.4
Auvergne-Rhône-Alpes,5,Commerce/Gestion,26,18.2
Auvergne-Rhône-Alpes,5,Industrie,25,17.5
Auvergne-Rhône-Alpes,5,Juridique,8,5.6
Auvergne-Rhône-Alpes,5,Langues,9,6.3
Auvergne-Rhône-Alpes,5,Santé,21,14.7
Auvergne-Rhône-Alpes,5,Services,27,18.9
Auvergne-Rhône-Alpes,5,Soft Skills,50,35.0
Auvergne-Rhône-Alpes,5,Sécurité,9,6.3
Auvergne-Rhône-Alpes,5,Tech/Digital,10,7.0
Auvergne-Rhône-Alpes,6,Autre,52,36.4
Auvergne-Rhône-Alpes,6,Commerce/Gestion,15,10.5
Auvergne-Rhône-Alpes,6,Industrie,22,15.4
Auvergne-Rhône-Alpes,6,Juridique,3,2.1
Auvergne-Rhône-Alpes,6,Langues,5,3.5
Auvergne-Rhône-Alpes,6,Santé,24,16.8
Auvergne-Rhône-Alpes,6,Services,21,14.7
Auvergne-Rhône-Alpes,6,Soft Skills,34,23.8
Auvergne-Rhône-Alpes,6,Sécurité,4,2.8
Auvergne-Rhône-Alpes,6,Tech/Digital,9,6.3
Auvergne-Rhône-Alpes,7,Autre,32,22.4
Auvergne-Rhône-Alpes,7,Commerce/Gestion,14,9.8
Auvergne-Rhône-Alpes,7,Industrie,13,9.1
Auvergne-Rhône-Alpes,7,Juridique,4,2.8
Auvergne-Rhône-Alpes,7,Langues,4,2.8
Auvergne-Rhône-Alpes,7,Santé,12,8.4
Auvergne-Rhône-Alpes,7,Services,22,15.4
Auvergne-Rhône-Alpes,7,Soft Skills,21,14.7
Auvergne-Rhône-Alpes,7,Sécurité,4,2.8
Auvergne-Rhône-Alpes,7,Tech/Digital,8,5.6
Auvergne-Rhône-Alpes,8,Autre,35,24.5
Auvergne-Rhône-Alpes,8,Commerce/Gestion,11,7.7
Auvergne-Rhône-Alpes,8,Industrie,14,9.8
Auvergne-Rhône-Alpes,8,Juridique,2,1.4
Auvergne-Rhône-Alpes,8,Langues,6,4.2
Auvergne-Rhône-Alpes,8,Santé,17,11.9
Auvergne-Rhône-Alpes,8,Services,20,14.0
Auvergne-Rhône-Alpes,8,Soft Skills,15,10.5
Auvergne-Rhône-Alpes,8,Sécurité,3,2.1
Auvergne-Rhône-Alpes,8,Tech/Digital,10,7.0
Auvergne-Rhône-Alpes,9,Autre,27,18.9
Auvergne-Rhône-Alpes,9,Commerce/Gestion,9,6.3
Auvergne-Rhône-Alpes,9,Industrie,8,5.6
Auvergne-Rhône-Alpes,9,Juridique,3,2.1
Auvergne-Rhône-Alpes,9,Langues,7,4.9
Auvergne-Rhône-Alpes,9,Santé,10,7.0
Auvergne-Rhône-Alpes,9,Services,11,7.7
Auvergne-Rhône-Alpes,9,Soft Skills,18,12.6
Auvergne-Rhône-Alpes,9,Sécurité,6,4.2
Auvergne-Rhône-Alpes,9,Tech/Digital,6,4.2
Auvergne-Rhône-Alpes,10,Autre,26,18.2
Auvergne-Rhône-Alpes,10,Commerce/Gestion,10,7.0
Auvergne-Rhône-Alpes,10,Industrie,7,4.9
Auvergne-Rhône-Alpes,10,Juridique,2,1.4
Auvergne-Rhône-Alpes,10,Langues,9,6.3
Auvergne-Rhône-Alpes,10,Santé,11,7.7
Auvergne-Rhône-Alpes,10,Services,12,8.4
Auvergne-Rhône-Alpes,10,Soft Skills,13,9.1
Auvergne-Rhône-Alpes,10,Sécurité,2,1.4
Auvergne-Rhône-Alpes,10,Tech/Digital,8,5.6
Bourgogne-Franche-Comté,3,Autre,15,10.5
Bourgogne-Franche-Comté,3,Commerce/Gestion,9,6.3
Bourgogne-Franche-Comté,3,Industrie,5,3.5
Bourgogne-Franche-Comté,3,Langues,1,0.7
Bourgogne-Franche-Comté,3,Santé,5,3.5
Bourgogne-Franche-Comté,3,Services,15,10.5
Bourgogne-Franche-Comté,3,Soft Skills,19,13.3
Bourgogne-Franche-Comté,3,Sécurité,1,0.7
Bourgogne-Franche-Comté,3,Tech/Digital,2,1.4
Bourgogne-Franche-Comté,4,Autre,13,9.1
Bourgogne-Franche-Comté,4,Commerce/Gestion,4,2.8
Bourgogne-Franche-Comté,4,Industrie,6,4.2
Bourgogne-Franche-Comté,4,Juridique,2,1.4
Bourgogne-Franche-Comté,4,Langues,1,0.7
Bourgogne-Franche-Comté,4,Santé,3,2.1
Bourgogne-Franche-Comté,4,Services,5,3.5
Bourgogne-Franche-Comté,4,Soft Skills,15,10.5
Bourgogne-Franche-Comté,4,Sécurité,1,0.7
Bourgogne-Franche-Comté,4,Tech/Digital,5,3.5
Bourgogne-Franche-Comté,5,Autre,13,9.1
Bourgogne-Franche-Comté,5,Commerce/Gestion,7,4.9
Bourgogne-Franche-Comté,5,Industrie,2,1.4
Bourgogne-Franche-Comté,5,Langues,2,1.4
Bourgogne-Franche-Comté,5,Santé,1,0.7
Bourgogne-Franche-Comté,5,Services,6,4.2
Bourgogne-Franche-Comté,5,Soft Skills,9,6.3
Bourgogne-Franche-Comté,5,Sécurité,3,2.1
Bourgogne-Franche-Comté,5,Tech/Digital,4,2.8
Bourgogne-Franche-Comté,6,Autre,11,7.7
Bourgogne-Franche-Comté,6,Commerce/Gestion,6,4.2
Bourgogne-Franche-Comté,6,Industrie,1,0.7
Bourgogne-Franche-Comté,6,Juridique,1,0.7
Bourgogne-Franche-Comté,6,Santé,4,2.8
Bourgogne-Franche-Comté,6,Services,3,2.1
Bourgogne-Franche-Comté,6,Soft Skills,11,7.7
Bourgogne-Franche-Comté,6,Sécurité,3,2.1
Bourgogne-Franche-Comté,6,Tech/Digital,2,1.4
Bourgogne-Franche-Comté,7,Autre,11,7.7
Bourgogne-Franche-Comté,7,Commerce/Gestion,4,2.8
Bourgogne-Franche-Comté,7,Industrie,4,2.8
Bourgogne-Franche-Comté,7,Juridique,1,0.7
Bourgogne-Franche-Comté,7,Langues,1,0.7
Bourgogne-Franche-Comté,7,Santé,4,2.8
Bourgogne-Franche-Comté,7,Services,3,2.1
Bourgogne-Franche-Comté,7,Soft Skills,5,3.5
Bourgogne-Franche-Comté,7,Sécurité,4,2.8
Bourgogne-Franche-Comté,7,Tech/Digital,1,0.7
Bourgogne-Franche-Comté,8,Autre,9,6.3
Bourgogne-Franche-Comté,8,Commerce/Gestion,2,1.4
Bourgogne-Franche-Comté,8,Industrie,1,0.7
Bourgogne-Franche-Comté,8,Langues,1,0.7
Bourgogne-Franche-Comté,8,Santé,2,1.4
Bourgogne-Franche-Comté,8,Services,6,4.2
Bourgogne-Franche-Comté,8,Soft Skills,6,4.2
Bourgogne-Franche-Comté,8,Tech/Digital,1,0.7
Bourgogne-Franche-Comté,9,Autre,9,6.3
Bourgogne-Franche-Comté,9,Commerce/Gestion,4,2.8
Bourgogne-Franche-Comté,9,Industrie,3,2.1
Bourgogne-Franche-Comté,9,Juridique,1,0.7
Bourgogne-Franche-Comté,9,Santé,4,2.8
Bourgogne-Franche-Comté,9,Services,2,1.4
Bourgogne-Franche-Comté,9,Soft Skills,7,4.9
Bourgogne-Franche-Comté,10,Autre,4,2.8
Bourgogne-Franche-Comté,10,Commerce/Gestion,1,0.7
Bourgogne-Franche-Comté,10,Industrie,4,2.8
Bourgogne-Franche-Comté,10,Langues,1,0.7
Bourgogne-Franche-Comté,10,Santé,5,3.5
Bourgogne-Franche-Comté,10,Services,5,3.5
Bourgogne-Franche-Comté,10,Soft Skills,1,0.7
Bourgogne-Franche-Comté,10,Sécurité,1,0.7
Bourgogne-Franche-Comté,10,Tech/Digital,1,0.7
Bretagne,3,Autre,20,14.0
Bretagne,3,Commerce/Gestion,9,6.3
Bretagne,3,Industrie,9,6.3
Bretagne,3,Juridique,1,0.7
Bretagne,3,Langues,6,4.2
Bretagne,3,Santé,7,4.9
Bretagne,3,Services,23,16.1
Bretagne,3,Soft Skills,35,24.5
Bretagne,3,Sécurité,4,2.8
Bretagne,3,Tech/Digital,7,4.9
Bretagne,4,Autre,23,16.1
Bretagne,4,Commerce/Gestion,8,5.6
Bretagne,4,Industrie,4,2.8
Bretagne,4,Juridique,2,1.4
Bretagne,4,Langues,4,2.8
Bretagne,4,Santé,4,2.8
Bretagne,4,Services,8,5.6
Bretagne,4,Soft Skills,16,11.2
Bretagne,4,Sécurité,3,2.1
Bretagne,4,Tech/Digital,3,2.1
Bretagne,5,Autre,16,11.2
Bretagne,5,Commerce/Gestion,5,3.5
Bretagne,5,Industrie,3,2.1
Bretagne,5,Juridique,1,0.7
Bretagne,5,Langues,3,2.1
Bretagne,5,Santé,3,2.1
Bretagne,5,Services,10,7.0
Bretagne,5,Soft Skills,13,9.1
Bretagne,5,Sécurité,4,2.8
Bretagne,5,Tech/Digital,4,2.8
Bretagne,6,Autre,11,7.7
Bretagne,6,Commerce/Gestion,5,3.5
Bretagne,6,Industrie,2,1.4
Bretagne,6,Santé,4,2.8
Bretagne,6,Services,14,9.8
Bretagne,6,Soft Skills,10,7.0
Bretagne,6,Sécurité,2,1.4
Bretagne,6,Tech/Digital,2,1.4
Bretagne,7,Autre,14,9.8
Bretagne,7,Commerce/Gestion,3,2.1
Bretagne,7,Industrie,3,2.1
Bretagne,7,Juridique,1,0.7
Bretagne,7,Langues,2,1.4
Bretagne,7,Santé,4,2.8
Bretagne,7,Services,4,2.8
Bretagne,7,Soft Skills,7,4.9
Bretagne,7,Sécurité,4,2.8
Bretagne,8,Autre,13,9.1
Bretagne,8,Commerce/Gestion,5,3.5
Bretagne,8,Industrie,6,4.2
Bretagne,8,Santé,5,3.5
Bretagne,8,Services,6,4.2
Bretagne,8,Soft Skills,6,4.2
Bretagne,8,Tech/Digital,7,4.9
Bretagne,9,Autre,5,3.5
Bretagne,9,Commerce/Gestion,5,3.5
Bretagne,9,Industrie,5,3.5
Bretagne,9,Langues,2,1.4
Bretagne,9,Santé,5,3.5
Bretagne,9,Services,8,5.6
Bretagne,9,Soft Skills,8,5.6
Bretagne,9,Tech/Digital,1,0.7
Bretagne,10,Autre,8,5.6
Bretagne,10,Commerce/Gestion,1,0.7
Bretagne,10,Industrie,7,4.9
Bretagne,10,Langues,3,2.1
Bretagne,10,Santé,4,2.8
Bretagne,10,Services,2,1.4
Bretagne,10,Soft Skills,3,2.1
Bretagne,10,Sécurité,2,1.4
Bretagne,10,Tech/Digital,1,0.7
Centre-Val de Loire,3,Autre,23,16.1
Centre-Val de Loire,3,Commerce/Gestion,5,3.5
Centre-Val de Loire,3,Industrie,6,4.2
Centre-Val de Loire,3,Langues,2,1.4
Centre-Val de Loire,3,Santé,7,4.9
Centre-Val de Loire,3,Services,12,8.4
Centre-Val de Loire,3,Soft Skills,19,13.3
Centre-Val de Loire,3,Sécurité,2,1.4
Centre-Val de Loire,3,Tech/Digital,5,3.5
Centre-Val de Loire,4,Autre,17,11.9
Centre-Val de Loire,4,Commerce/Gestion,2,1.4
Centre-Val de Loire,4,Industrie,4,2.8
Centre-Val de Loire,4,Juridique,1,0.7
Centre-Val de Loire,4,Langues,3,2.1
Centre-Val de Loire,4,Santé,4,2.8
Centre-Val de Loire,4,Services,10,7.0
Centre-Val de Loire,4,Soft Skills,21,14.7
Centre-Val de Loire,4,Sécurité,3,2.1
Centre-Val de Loire,4,Tech/Digital,6,4.2
Centre-Val de Loire,5,Autre,9,6.3
Centre-Val de Loire,5,Commerce/Gestion,3,2.1
Centre-Val de Loire,5,Industrie,2,1.4
Centre-Val de Loire,5,Langues,2,1.4
Centre-Val de Loire,5,Santé,7,4.9
Centre-Val de Loire,5,Services,7,4.9
Centre-Val de Loire,5,Soft Skills,9,6.3
Centre-Val de Loire,5,Sécurité,2,1.4
Centre-Val de Loire,5,Tech/Digital,1,0.7
Centre-Val de Loire,6,Autre,11,7.7
Centre-Val de Loire,6,Commerce/Gestion,3,2.1
Centre-Val de Loire,6,Industrie,3,2.1
Centre-Val de Loire,6,Langues,2,1.4
Centre-Val de Loire,6,Services,7,4.9
Centre-Val de Loire,6,Soft Skills,6,4.2
Centre-Val de Loire,6,Sécurité,2,1.4
Centre-Val de Loire,6,Tech/Digital,4,2.8
Centre-Val de Loire,7,Autre,3,2.1
Centre-Val de Loire,7,Commerce/Gestion,1,0.7
Centre-Val de Loire,7,Industrie,1,0.7
Centre-Val de Loire,7,Santé,2,1.4
Centre-Val de Loire,7,Services,1,0.7
Centre-Val de Loire,7,Soft Skills,7,4.9
Centre-Val de Loire,7,Sécurité,1,0.7
Centre-Val de Loire,7,Tech/Digital,1,0.7
Centre-Val de Loire,8,Autre,4,2.8
Centre-Val de Loire,8,Commerce/Gestion,6,4.2
Centre-Val de Loire,8,Industrie,6,4.2
Centre-Val de Loire,8,Langues,2,1.4
Centre-Val de Loire,8,Santé,4,2.8
Centre-Val de Loire,8,Services,2,1.4
Centre-Val de Loire,8,Soft Skills,5,3.5
Centre-Val de Loire,9,Autre,3,2.1
Centre-Val de Loire,9,Commerce/Gestion,4,2.8
Centre-Val de Loire,9,Industrie,1,0.7
Centre-Val de Loire,9,Langues,2,1.4
Centre-Val de Loire,9,Santé,2,1.4
Centre-Val de Loire,10,Autre,6,4.2
Centre-Val de Loire,10,Commerce/Gestion,1,0.7
Centre-Val de Loire,10,Industrie,3,2.1
Centre-Val de Loire,10,Langues,1,0.7
Centre-Val de Loire,10,Santé,1,0.7
Centre-Val de Loire,10,Services,2,1.4
Centre-Val de Loire,10,Soft Skills,2,1.4
Corse,3,Autre,3,2.1
Corse,3,Industrie,1,0.7
Corse,3,Santé,3,2.1
Corse,3,Services,3,2.1
Corse,3,Soft Skills,4,2.8
Corse,4,Autre,3,2.1
Corse,4,Industrie,1,0.7
Corse,4,Santé,1,0.7
Corse,4,Services,1,0.7
Corse,4,Soft Skills,5,3.5
Corse,4,Sécurité,2,1.4
Corse,4,Tech/Digital,1,0.7
Corse,5,Autre,2,1.4
Corse,5,Commerce/Gestion,1,0.7
Corse,5,Langues,1,0.7
Corse,5,Services,2,1.4
Corse,5,Soft Skills,1,0.7
Corse,5,Sécurité,1,0.7
Corse,6,Autre,2,1.4
Corse,6,Santé,1,0.7
Corse,6,Services,2,1.4
Corse,6,Soft Skills,2,1.4
Corse,6,Tech/Digital,1,0.7
Corse,7,Autre,1,0.7
Corse,7,Soft Skills,1,0.7
Corse,8,Autre,1,0.7
Corse,8,Industrie,1,0.7
Corse,8,Services,1,0.7
Corse,8,Soft Skills,1,0.7
Corse,8,Sécurité,1,0.7
Corse,9,Autre,1,0.7
Corse,10,Santé,1,0.7
Corse,10,Services,1,0.7
Grand Est,3,Autre,46,32.2
Grand Est,3,Commerce/Gestion,16,11.2
Grand Est,3,Industrie,11,7.7
Grand Est,3,Langues,8,5.6
Grand Est,3,Santé,14,9.8
Grand Est,3,Services,33,23.1
Grand Est,3,Soft Skills,45,31.5
Grand Est,3,Sécurité,5,3.5
Grand Est,3,Tech/Digital,11,7.7
Grand Est,4,Autre,30,21.0
Grand Est,4,Commerce/Gestion,17,11.9
Grand Est,4,Industrie,15,10.5
Grand Est,4,Juridique,3,2.1
Grand Est,4,Langues,4,2.8
Grand Est,4,Santé,10,7.0
Grand Est,4,Services,25,17.5
Grand Est,4,Soft Skills,35,24.5
Grand Est,4,Sécurité,11,7.7
Grand Est,4,Tech/Digital,7,4.9
Grand Est,5,Autre,24,16.8
Grand Est,5,Commerce/Gestion,7,4.9
Grand Est,5,Industrie,7,4.9
Grand Est,5,Juridique,4,2.8
Grand Est,5,Langues,5,3.5
Grand Est,5,Santé,7,4.9
Grand Est,5,Services,17,11.9
Grand Est,5,Soft Skills,20,14.0
Grand Est,5,Sécurité,3,2.1
Grand Est,5,Tech/Digital,7,4.9
Grand Est,6,Autre,21,14.7
Grand Est,6,Commerce/Gestion,8,5.6
Grand Est,6,Industrie,12,8.4
Grand Est,6,Juridique,1,0.7
Grand Est,6,Langues,3,2.1
Grand Est,6,Santé,11,7.7
Grand Est,6,Services,11,7.7
Grand Est,6,Soft Skills,10,7.0
Grand Est,6,Sécurité,2,1.4
Grand Est,6,Tech/Digital,4,2.8
Grand Est,7,Autre,18,12.6
Grand Est,7,Commerce/Gestion,8,5.6
Grand Est,7,Industrie,9,6.3
Grand Est,7,Langues,3,2.1
Grand Est,7,Santé,7,4.9
Grand Est,7,Services,6,4.2
Grand Est,7,Soft Skills,8,5.6
Grand Est,7,Sécurité,3,2.1
Grand Est,7,Tech/Digital,6,4.2
Grand Est,8,Autre,19,13.3
Grand Est,8,Commerce/Gestion,5,3.5
Grand Est,8,Industrie,3,2.1
Grand Est,8,Juridique,1,0.7
Grand Est,8,Langues,3,2.1
Grand Est,8,Santé,3,2.1
Grand Est,8,Services,8,5.6
Grand Est,8,Soft Skills,12,8.4
Grand Est,8,Sécurité,2,1.4
Grand Est,8,Tech/Digital,2,1.4
Grand Est,9,Autre,16,11.2
Grand Est,9,Commerce/Gestion,3,2.1
Grand Est,9,Industrie,4,2.8
Grand Est,9,Juridique,1,0.7
Grand Est,9,Langues,6,4.2
Grand Est,9,Santé,6,4.2
Grand Est,9,Services,1,0.7
Grand Est,9,Soft Skills,7,4.9
Grand Est,9,Sécurité,4,2.8
Grand Est,9,Tech/Digital,6,4.2
Grand Est,10,Autre,13,9.1
Grand Est,10,Commerce/Gestion,7,4.9
Grand Est,10,Industrie,3,2.1
Grand Est,10,Juridique,2,1.4
Grand Est,10,Langues,1,0.7
Grand Est,10,Santé,6,4.2
Grand Est,10,Services,3,2.1
Grand Est,10,Soft Skills,3,2.1
Grand Est,10,Sécurité,3,2.1
Grand Est,10,Tech/Digital,1,0.7
Guadeloupe,3,Autre,7,4.9
Guadeloupe,3,Commerce/Gestion,1,0.7
Guadeloupe,3,Industrie,1,0.7
Guadeloupe,3,Santé,4,2.8
Guadeloupe,3,Services,5,3.5
Guadeloupe,3,Soft Skills,3,2.1
Guadeloupe,3,Sécurité,1,0.7
Guadeloupe,4,Autre,6,4.2
Guadeloupe,4,Industrie,2,1.4
Guadeloupe,4,Langues,2,1.4
Guadeloupe,4,Services,1,0.7
Guadeloupe,4,Soft Skills,2,1.4
Guadeloupe,4,Sécurité,2,1.4
Guadeloupe,5,Autre,5,3.5
Guadeloupe,5,Santé,2,1.4
Guadeloupe,5,Services,3,2.1
Guadeloupe,5,Soft Skills,1,0.7
Guadeloupe,6,Autre,2,1.4
Guadeloupe,6,Services,5,3.5
Guadeloupe,6,Soft Skills,2,1.4
Guadeloupe,7,Autre,2,1.4
Guadeloupe,7,Commerce/Gestion,4,2.8
Guadeloupe,7,Langues,1,0.7
Guadeloupe,7,Santé,1,0.7
Guadeloupe,7,Services,2,1.4
Guadeloupe,8,Autre,4,2.8
Guadeloupe,8,Commerce/Gestion,1,0.7
Guadeloupe,8,Industrie,1,0.7
Guadeloupe,8,Santé,1,0.7
Guadeloupe,8,Services,3,2.1
Guadeloupe,9,Autre,4,2.8
Guadeloupe,9,Commerce/Gestion,1,0.7
Guadeloupe,9,Industrie,1,0.7
Guadeloupe,9,Juridique,1,0.7
Guadeloupe,9,Santé,2,1.4
Guadeloupe,9,Services,1,0.7
Guadeloupe,10,Autre,2,1.4
Guadeloupe,10,Industrie,2,1.4
Guyane,3,Autre,1,0.7
Guyane,3,Commerce/Gestion,1,0.7
Guyane,3,Industrie,3,2.1
Guyane,3,Juridique,1,0.7
Guyane,3,Santé,2,1.4
Guyane,4,Autre,3,2.1
Guyane,4,Services,2,1.4
Guyane,5,Autre,1,0.7
Guyane,5,Industrie,1,0.7
Guyane,5,Soft Skills,2,1.4
Guyane,6,Autre,1,0.7
Guyane,6,Commerce/Gestion,1,0.7
Guyane,7,Autre,2,1.4
Guyane,7,Commerce/Gestion,1,0.7
Guyane,7,Services,1,0.7
Guyane,7,Soft Skills,1,0.7
Guyane,8,Autre,2,1.4
Guyane,8,Commerce/Gestion,2,1.4
Guyane,8,Industrie,1,0.7
Guyane,8,Services,1,0.7
Guyane,8,Soft Skills,1,0.7
Guyane,9,Autre,1,0.7
Guyane,9,Services,1,0.7
Hauts-de-France,3,Autre,37,25.9
Hauts-de-France,3,Commerce/Gestion,19,13.3
Hauts-de-France,3,Industrie,12,8.4
Hauts-de-France,3,Juridique,1,0.7
Hauts-de-France,3,Langues,7,4.9
Hauts-de-France,3,Santé,13,9.1
Hauts-de-France,3,Services,18,12.6
Hauts-de-France,3,Soft Skills,46,32.2
Hauts-de-France,3,Sécurité,8,5.6
Hauts-de-France,3,Tech/Digital,6,4.2
Hauts-de-France,4,Autre,38,26.6
Hauts-de-France,4,Commerce/Gestion,9,6.3
Hauts-de-France,4,Industrie,4,2.8
Hauts-de-France,4,Juridique,5,3.5
Hauts-de-France,4,Langues,4,2.8
Hauts-de-France,4,Santé,9,6.3
Hauts-de-France,4,Services,19,13.3
Hauts-de-France,4,Soft Skills,25,17.5
Hauts-de-France,4,Sécurité,1,0.7
Hauts-de-France,4,Tech/Digital,11,7.7
Hauts-de-France,5,Autre,22,15.4
Hauts-de-France,5,Commerce/Gestion,13,9.1
Hauts-de-France,5,Industrie,6,4.2
Hauts-de-France,5,Juridique,5,3.5
Hauts-de-France,5,Langues,2,1.4
Hauts-de-France,5,Santé,9,6.3
Hauts-de-France,5,Services,8,5.6
Hauts-de-France,5,Soft Skills,13,9.1
Hauts-de-France,5,Sécurité,3,2.1
Hauts-de-France,5,Tech/Digital,9,6.3
Hauts-de-France,6,Autre,18,12.6
Hauts-de-France,6,Commerce/Gestion,7,4.9
Hauts-de-France,6,Industrie,5,3.5
Hauts-de-France,6,Juridique,2,1.4
Hauts-de-France,6,Langues,2,1.4
Hauts-de-France,6,Santé,5,3.5
Hauts-de-France,6,Services,7,4.9
Hauts-de-France,6,Soft Skills,24,16.8
Hauts-de-France,6,Sécurité,4,2.8
Hauts-de-France,6,Tech/Digital,6,4.2
Hauts-de-France,7,Autre,18,12.6
Hauts-de-France,7,Commerce/Gestion,4,2.8
Hauts-de-France,7,Industrie,2,1.4
Hauts-de-France,7,Juridique,4,2.8
Hauts-de-France,7,Santé,9,6.3
Hauts-de-France,7,Services,5,3.5
Hauts-de-France,7,Soft Skills,14,9.8
Hauts-de-France,7,Tech/Digital,3,2.1
Hauts-de-France,8,Autre,13,9.1
Hauts-de-France,8,Commerce/Gestion,3,2.1
Hauts-de-France,8,Industrie,3,2.1
Hauts-de-France,8,Santé,5,3.5
Hauts-de-France,8,Services,4,2.8
Hauts-de-France,8,Soft Skills,16,11.2
Hauts-de-France,8,Sécurité,2,1.4
Hauts-de-France,8,Tech/Digital,1,0.7
Hauts-de-France,9,Autre,12,8.4
Hauts-de-France,9,Commerce/Gestion,6,4.2
Hauts-de-France,9,Industrie,4,2.8
Hauts-de-France,9,Juridique,1,0.7
Hauts-de-France,9,Langues,2,1.4
Hauts-de-France,9,Santé,3,2.1
Hauts-de-France,9,Services,2,1.4
Hauts-de-France,9,Soft Skills,8,5.6
Hauts-de-France,9,Sécurité,5,3.5
Hauts-de-France,9,Tech/Digital,2,1.4
Hauts-de-France,10,Autre,9,6.3
Hauts-de-France,10,Commerce/Gestion,2,1.4
Hauts-de-France,10,Industrie,8,5.6
Hauts-de-France,10,Juridique,1,0.7
Hauts-de-France,10,Santé,2,1.4
Hauts-de-France,10,Services,8,5.6
Hauts-de-France,10,Soft Skills,5,3.5
Hauts-de-France,10,Sécurité,4,2.8
Hauts-de-France,10,Tech/Digital,1,0.7
La Réunion,3,Autre,7,4.9
La Réunion,3,Commerce/Gestion,10,7.0
La Réunion,3,Industrie,3,2.1
La Réunion,3,Langues,2,1.4
La Réunion,3,Santé,3,2.1
La Réunion,3,Services,7,4.9
La Réunion,3,Soft Skills,8,5.6
La Réunion,3,Sécurité,1,0.7
La Réunion,4,Autre,11,7.7
La Réunion,4,Commerce/Gestion,7,4.9
La Réunion,4,Industrie,2,1.4
La Réunion,4,Juridique,1,0.7
La Réunion,4,Langues,2,1.4
La Réunion,4,Santé,2,1.4
La Réunion,4,Services,3,2.1
La Réunion,4,Soft Skills,3,2.1
La Réunion,4,Sécurité,3,2.1
La Réunion,5,Autre,7,4.9
La Réunion,5,Commerce/Gestion,4,2.8
La Réunion,5,Industrie,3,2.1
La Réunion,5,Juridique,1,0.7
La Réunion,5,Langues,1,0.7
La Réunion,5,Services,6,4.2
La Réunion,5,Soft Skills,4,2.8
La Réunion,5,Sécurité,1,0.7
La Réunion,6,Autre,7,4.9
La Réunion,6,Commerce/Gestion,1,0.7
La Réunion,6,Industrie,1,0.7
La Réunion,6,Juridique,1,0.7
La Réunion,6,Langues,1,0.7
La Réunion,6,Santé,3,2.1
La Réunion,6,Services,4,2.8
La Réunion,6,Soft Skills,2,1.4
La Réunion,6,Sécurité,1,0.7
La Réunion,7,Autre,3,2.1
